name|netacuity_id|targeting_tag|state_id
Nanjapura|935896|CITY_NANJAPURA|52010011
Asanandpur|867111|CITY_ASANANDPUR|52009998
Bania Bandh|871429|CITY_BANIA_BANDH|52010044
Charbagh|738189|CITY_CHARBAGH|52010044
Malatipur|726656|CITY_MALATIPUR|52001309
Handrahalli|900230|CITY_HANDRAHALLI|52010011
Naili|935099|CITY_NAILI|52009998
Karukonda|912491|CITY_KARUKONDA|52033962
Lajpat Nagar|922859|CITY_LAJPAT_NAGAR|52009999
Pahlewal|939362|CITY_PAHLEWAL|52010031
Shibpur|1355891|CITY_SHIBPUR|52001309
Vilavancode|967255|CITY_VILAVANCODE|52010036
Kherwadi|726325|CITY_KHERWADI|52001320
Yanamalakuduru|726086|CITY_YANAMALAKUDURU|52009994
Gondegaon|897804|CITY_GONDEGAON|52001320
Bahara|869118|CITY_BAHARA|52001309
Mamidipalli|927955|CITY_MAMIDIPALLI|52033962
Koralur|1340924|CITY_KORALUR|52010011
Mahespur|926152|CITY_MAHESPUR|52001309
Ichhapur|1355672|CITY_ICHHAPUR|52001309
Dabgar|886425|CITY_DABGAR|52010044
Bengaluru|742204|CITY_BENGALURU|52010011
Gopalpatti|897953|CITY_GOPALPATTI|52001320
Kalikapur|1355696|CITY_KALIKAPUR|52001309
Kulai|1355745|CITY_KULAI|52001309
Naraich|1353280|CITY_NARAICH|52010044
Jaitpur|1336510|CITY_JAITPUR|52009999
Badinagar|868459|CITY_BADINAGAR|52010044
Chituri|885777|CITY_CHITURI|52001309
Nimtita|937923|CITY_NIMTITA|52001309
Mangadu|928483|CITY_MANGADU|52010036
Ilahibagh|902826|CITY_ILAHIBAGH|52010044
Mamurabad|928000|CITY_MAMURABAD|52001320
Barauli|872316|CITY_BARAULI|52010044
Hariharpur|1355661|CITY_HARIHARPUR|52001309
Tajganj|960469|CITY_TAJGANJ|52010044
Gota|1336699|CITY_GOTA|52010002
Anaivari|865700|CITY_ANAIVARI|52010036
Umela|684033|CITY_UMELA|52001320
Naurangabad|1353327|CITY_NAURANGABAD|52010044
Mittapalem|931686|CITY_MITTAPALEM|52009994
Shafipur|1354119|CITY_SHAFIPUR|52010044
Geddalahalli|895954|CITY_GEDDALAHALLI|52010011
Madhabpur|1355762|CITY_MADHABPUR|52001309
Pathardi|740610|CITY_PATHARDI|52001320
Perumbakkam|943384|CITY_PERUMBAKKAM|52010036
Errampeta|893565|CITY_ERRAMPETA|52009994
Perumanna|943380|CITY_PERUMANNA|52010018
Borgaon|1341395|CITY_BORGAON|52001320
Kapasdanga|911278|CITY_KAPASDANGA|52001309
Allipur|864792|CITY_ALLIPUR|52010044
Ponniammanmedu|738174|CITY_PONNIAMMANMEDU|52010036
Faridabad|1338724|CITY_FARIDABAD|52010008
Asapur|1350165|CITY_ASAPUR|52010044
Karmisar|912280|CITY_KARMISAR|52010035
Palvelpula|940216|CITY_PALVELPULA|52033962
Zakhira|968106|CITY_ZAKHIRA|52009999
Satiwali|743134|CITY_SATIWALI|52001320
Gundimeda|899137|CITY_GUNDIMEDA|52009994
Yamuna Vihar|967869|CITY_YAMUNA_VIHAR|52009999
Nayaganj|1353347|CITY_NAYAGANJ|52010044
Lal Darwaza|923183|CITY_LAL_DARWAZA|52010044
Channasandra|883010|CITY_CHANNASANDRA|52010011
Pipri|1349722|CITY_PIPRI|52033962
Tiruvanmiyur|726571|CITY_TIRUVANMIYUR|52010036
Rajipur|1353752|CITY_RAJIPUR|52010044
Ganespur|1355623|CITY_GANESPUR|52001309
Ballabhpur|870435|CITY_BALLABHPUR|52001309
Ramalingapuram|947469|CITY_RAMALINGAPURAM|52010036
Hariharganj|900728|CITY_HARIHARGANJ|52010044
Vidyanagar|967198|CITY_VIDYANAGAR|52033962
Shirgaon|1342337|CITY_SHIRGAON|52001320
Dari|1336646|CITY_DARI|52010002
Churulia|684064|CITY_CHURULIA|52001309
Sahapur|726660|CITY_SAHAPUR|52001309
Gangtiahi|895052|CITY_GANGTIAHI|52028057
Barmasia|872959|CITY_BARMASIA|52028057
Hawala|901502|CITY_HAWALA|52010035
Midnapur|931300|CITY_MIDNAPUR|52001309
Lado Sarai|922630|CITY_LADO_SARAI|52009999
Marturu|929792|CITY_MARTURU|52009994
Girdharpur|897124|CITY_GIRDHARPUR|52010044
Badampet|868259|CITY_BADAMPET|52033962
Kandukur|726055|CITY_KANDUKUR|52009994
East Of Kailash|741255|CITY_EAST_OF_KAILASH|52009999
Qila|946249|CITY_QILA|52010044
Kalipur|1355699|CITY_KALIPUR|52001309
Karanpur|1352231|CITY_KARANPUR|52010044
Nagla Charandas|934471|CITY_NAGLA_CHARANDAS|52010044
Koratla|919290|CITY_KORATLA|52033962
Bareguda|872478|CITY_BAREGUDA|52033962
Gnanapuram|897217|CITY_GNANAPURAM|52009994
Nandanam|935619|CITY_NANDANAM|52010036
Mettuparai|931211|CITY_METTUPARAI|52010036
Halehalli|899992|CITY_HALEHALLI|52010011
Kamareddy|659888|CITY_KAMAREDDY|52033962
Karala|911531|CITY_KARALA|52009999
Osmannagar|938729|CITY_OSMANNAGAR|52033962
Lohna|1337889|CITY_LOHNA|52024787
Dangapara|887438|CITY_DANGAPARA|52001309
Kovvada|920016|CITY_KOVVADA|52009994
Kothuru|1333199|CITY_KOTHURU|52009994
Nanganallur|935850|CITY_NANGANALLUR|52010036
Bodavada|879958|CITY_BODAVADA|52009994
Tilma|963338|CITY_TILMA|52028057
Banitala|871473|CITY_BANITALA|52001309
Dharmsala|890291|CITY_DHARMSALA|52024787
Sangareddy|741911|CITY_SANGAREDDY|52033962
Gangadharpur|1355624|CITY_GANGADHARPUR|52001309
Mandoli|928401|CITY_MANDOLI|52010011
Ranasan|948074|CITY_RANASAN|52010002
Junwaniya|907472|CITY_JUNWANIYA|52010027
Sirsilla|659346|CITY_SIRSILLA|52033962
Bhagatpurwa|875428|CITY_BHAGATPURWA|52010044
Rustumbada|950265|CITY_RUSTUMBADA|52009994
Kunnanur|921373|CITY_KUNNANUR|52010036
Housing Board|902351|CITY_HOUSING_BOARD|52010036
Devalapuram|888967|CITY_DEVALAPURAM|52010036
Saligramam|726563|CITY_SALIGRAMAM|52010036
Jamalapur|904504|CITY_JAMALAPUR|52010044
Govindpur|1351711|CITY_GOVINDPUR|52010044
Bihar|659899|CITY_BIHAR|52009998
Nuagan|938284|CITY_NUAGAN|52010030
Kohara|1352529|CITY_KOHARA|52010044
Yenugonda|968018|CITY_YENUGONDA|52033962
Dhankot|1338688|CITY_DHANKOT|52010008
Ganipur|895099|CITY_GANIPUR|52009998
Thikri|741538|CITY_THIKRI|52010008
Bhagirathpur|1355547|CITY_BHAGIRATHPUR|52001309
Bhikharipura|877364|CITY_BHIKHARIPURA|52010044
Nizamganj|938133|CITY_NIZAMGANJ|52001320
Gajwel|726500|CITY_GAJWEL|52033962
Rachenahalli|946309|CITY_RACHENAHALLI|52010011
Rangapur|1349765|CITY_RANGAPUR|52033962
Dumuria|1355615|CITY_DUMURIA|52001309
Joynagar|907312|CITY_JOYNAGAR|52001309
Barkatoli|872843|CITY_BARKATOLI|52028057
Kotli Dewan|919802|CITY_KOTLI_DEWAN|52010031
Bapane|871910|CITY_BAPANE|52001320
Pakuria|1355813|CITY_PAKURIA|52001309
Dongargaon|1341540|CITY_DONGARGAON|52001320
Pipari|944263|CITY_PIPARI|52010044
Ghanpur|896209|CITY_GHANPUR|52033962
Jagdishpur|903737|CITY_JAGDISHPUR|52009998
Ambadi|865092|CITY_AMBADI|52001320
Balagere|726226|CITY_BALAGERE|52010011
Nigan|937614|CITY_NIGAN|52001309
Balijapalle|870347|CITY_BALIJAPALLE|52009994
Rayachoti|664949|CITY_RAYACHOTI|52009994
Telipara|961978|CITY_TELIPARA|52001309
Parappur|741010|CITY_PARAPPUR|52010018
Venkatanagaram|967069|CITY_VENKATANAGARAM|52009994
Avarankadu|867777|CITY_AVARANKADU|52010036
Viswanathapuram|967391|CITY_VISWANATHAPURAM|52010036
Dindarpur|891518|CITY_DINDARPUR|52009999
Mandiya|928380|CITY_MANDIYA|52010035
Vilankurichi|967249|CITY_VILANKURICHI|52010036
