,city_smaller_name,netacuity_id_x,CITY-CODE,short_name,REGION,check_code
2858,agapalli,594171,594171.0,ts,ts,True
2859,baidyanathpur,594177,594177.0,wb,wb,True
2860,agnoor,594183,594183.0,ts,ts,True
2861,atchampeta,594184,594184.0,ap,ap,True
2862,baidyapur,594191,594191.0,wb,wb,True
2863,ainapur,594198,594198.0,ts,ts,True
2864,atchutapuram,594199,594199.0,ap,ap,True
2865,baigunta pur,594203,594203.0,wb,wb,True
2866,ainapuram,594213,594213.0,ap,ap,True
2867,atchutapuratriam,594214,594214.0,ap,ap,True
2868,baikara,594219,594219.0,wb,wb,True
2869,ainavalli,594228,594228.0,ap,ap,True
2870,atreyapuram,594229,594229.0,ap,ap,True
2871,bainchberia,594238,594238.0,wb,wb,True
2872,airforce academy,594243,594243.0,ts,ts,True
2873,avidi,594244,594244.0,ap,ap,True
2874,bairagir chak,594252,,wb,,False
2875,akaveedu,594258,594258.0,ap,ap,True
2876,ayanamukkala,594259,594259.0,ap,ap,True
2877,bairampur,594270,594270.0,wb,wb,True
2878,ayyaparajupalem,594273,594273.0,ap,ap,True
2879,akkacheruvu,594274,594274.0,ap,ap,True
2880,b kothuru,594281,594281.0,ap,ap,True
2881,baishata,594283,594283.0,wb,wb,True
2882,akkapalem,594286,594286.0,ap,ap,True
2883,b.cherlopalle,594294,594294.0,ap,ap,True
2884,akkapalli,594298,594298.0,ap,ap,True
2885,bajejama pakhihaga,594304,594304.0,wb,wb,True
2886,badevaripalem,594308,594308.0,ap,ap,True
2887,akulamailaram,594310,594310.0,ts,ts,True
2888,bakali,594317,594317.0,wb,wb,True
2889,baduguleru,594321,594321.0,ap,ap,True
2890,alamuru,594325,594325.0,ap,ap,True
2891,bakdukra anantalalpur,594328,594328.0,wb,wb,True
2892,alavalapadu,594336,594336.0,ap,ap,True
2893,baduguvanilanka,594338,594338.0,ap,ap,True
2894,bakharpur,594342,594342.0,wb,wb,True
2895,allapur,594347,594347.0,ts,ts,True
2896,balabhadrapuram,594352,594352.0,ap,ap,True
2897,bakla,594360,584344.0,od,od,False
2898,allavaram,594365,594365.0,ap,ap,True
2899,balanagar township,594369,594369.0,ts,ts,True
2900,bakla schooldanga,594370,594370.0,wb,wb,True
2901,allembylines,594383,594383.0,ts,ts,True
2902,bakshaduar,594384,594384.0,wb,wb,True
2903,balantram,594386,594386.0,ap,ap,True
2904,allinagaram,594394,594394.0,ap,ap,True
2905,bakurpada,594399,594399.0,wb,wb,True
2906,balijapalem,594401,594401.0,ap,ap,True
2907,allipudi,594409,594409.0,ap,ap,True
2908,balaram,594412,594412.0,wb,wb,True
2909,ballavaram,594416,594416.0,ap,ap,True
2910,alwal,594425,594425.0,ts,ts,True
2911,balasun,594426,594426.0,wb,wb,True
2912,ballipalli,594429,594429.0,ap,ap,True
2913,amaravalli,594438,594438.0,ap,ap,True
2914,balusutippa,594443,594443.0,ap,ap,True
2915,ambajipeta,594455,594455.0,ap,ap,True
2916,bandanapudi,594456,594456.0,ap,ap,True
2917,baliadanga faridpur,594457,594457.0,wb,wb,True
2918,ambavaram,594469,594469.0,ap,ap,True
2919,baligeria,594472,594472.0,wb,wb,True
2920,bandaraviryal,594474,594474.0,ts,ts,True
2921,ambavaram kothapalli,594483,594483.0,ap,ap,True
2922,balighai,594488,594488.0,wb,wb,True
2923,bandarlanka,594490,594490.0,ap,ap,True
2924,amdapur,594503,594503.0,ts,ts,True
2925,baliharpur,594504,594504.0,wb,wb,True
2926,bantummili,594505,594505.0,ap,ap,True
2927,amjuru,594517,594517.0,ap,ap,True
2928,bantwaram,594520,594520.0,ts,ts,True
2929,balisai,594523,,wb,,False
2930,ammanigudipadu,594533,594533.0,ap,ap,True
2931,basheerabad,594534,594534.0,ts,ts,True
2932,balisha chowmatha,594545,594545.0,wb,wb,True
2933,batchalakurapadu,594550,594550.0,ap,ap,True
2934,ammapalem,594551,594551.0,ap,ap,True
2935,ballichak,594556,594556.0,wb,wb,True
2936,bellamkondavaripalem,594566,594566.0,ap,ap,True
2937,ammavaripalem,594567,594567.0,ap,ap,True
2938,balughata,594573,594573.0,wb,wb,True
