cluster_id|location_id
55000009|51626974
55000009|51626975
55000009|51626976
55000009|51626977
55000009|51626978
55000009|51626979
55000009|51626980
55000009|51626981
55000009|51626982
55000009|51626983
55000009|51626984
55000009|51626985
55000009|51626986
55000009|51626987
55000009|51626988
55000009|51626989
55000009|51626990
55000009|51626991
55000009|51626992
55000009|51626993
55000009|51626994
55000009|51626995
55000009|51626996
55000009|51626997
55000009|51626998
55000009|51626999
55000009|51627000
55000009|51627001
55000009|51627002
55000009|51627003
55000009|51627004
55000009|51627005
55000009|51627006
55000009|51627007
55000009|51627008
55000009|51627009
55000009|51627010
55000009|51627011
55000009|51627012
55000009|51627013
55000009|51627014
55000009|51627015
55000009|51627016
55000009|51627017
55000009|51627018
55000009|51627019
55000009|51627020
55000009|51627021
55000009|51627022
55000009|51627023
55000009|51627024
55000009|51627025
55000009|51627026
55000009|51627027
55000009|51627028
55000009|51627029
55000009|51627030
55000009|51627031
55000009|51627032
55000009|51627033
55000009|51627034
55000009|51627035
55000009|51627036
55000009|51627037
55000009|51627038
55000009|51627039
55000009|51627040
55000009|51627041
55000009|51627042
55000009|51627043
55000009|51627044
55000009|51627045
55000009|51627046
55000009|51627047
55000009|51627048
55000009|51627049
55000009|51627050
55000009|51627051
55000009|51627052
55000009|51627053
55000009|51627054
55000009|51627055
55000009|51627056
55000009|51627057
55000009|51627058
55000009|51627059
55000009|51627060
55000009|51627061
55000009|51627062
55000009|51627063
55000009|51627064
55000009|51627065
55000009|51627066
55000009|51627067
55000009|51627068
55000009|51627069
55000009|51627070
55000009|51627071
55000009|51627072
55000009|51627073
55000009|51627074
55000009|51627075
55000009|51627076
55000009|51627077
55000009|51627078
55000009|51627079
55000009|51627080
55000009|51627081
55000009|51627082
55000009|51627083
55000009|51627084
55000009|51627085
55000009|51627086
55000009|51627087
55000009|51627088
55000009|51627089
55000009|51627090
55000009|51627091
55000009|51627092
55000009|51627093
55000009|51627094
55000009|51627095
55000009|51627096
55000009|51627097
55000009|51627098
55000009|51627099
55000009|51627100
55000009|51627101
55000009|51627102
55000009|51627103
55000009|51627104
55000009|51627105
55000009|51627106
55000009|51627107
55000009|51627108
55000009|51627109
55000009|51627110
55000009|51627111
55000009|51627112
55000009|51627113
55000009|51627114
55000009|51627115
55000009|51627116
55000009|51627117
55000009|51627118
55000009|51627119
55000009|51627120
55000009|51627121
55000009|51627122
55000009|51627123
55000009|51627124
55000009|51627125
55000009|51627126
55000009|51627127
55000009|51627128
55000009|51627129
55000009|51627130
55000009|51627131
55000009|51627132
55000009|51627133
55000009|51627134
55000009|51627135
55000009|51627136
55000009|51627137
55000009|51627138
55000009|51627139
55000009|51627140
55000009|51627141
55000009|51627142
55000009|51627143
55000009|51627144
55000009|51627145
55000009|51627146
55000009|51627147
55000009|51627148
55000009|51627149
55000009|51627150
55000009|51627151
55000009|51627152
55000009|51627153
55000009|51627154
55000009|51627155
55000009|51627156
55000009|51627157
55000009|51627158
55000009|51627159
55000009|51627160
55000009|51627161
55000009|51627162
55000009|51627163
55000009|51627164
55000009|51627165
55000009|51627166
55000009|51627167
55000009|51627168
55000009|51627169
55000009|51627170
55000009|51627171
55000009|51627172
55000009|51627173
55000009|51627174
55000009|51627175
55000009|51627176
55000009|51627177
55000009|51627178
55000009|51627179
55000009|51627180
55000009|51627181
55000009|51627182
55000009|51627183
55000009|51627184
55000009|51627185
55000009|51627186
55000009|51627187
55000009|51627188
55000009|51627189
55000009|51627190
55000009|51627191
55000009|51627192
55000009|51627193
55000009|51627194
55000009|51627195
55000009|51627196
55000009|51627197
55000009|51627198
55000009|51627199
55000009|51627200
55000009|51627201
55000009|51627202
55000009|51627203
55000009|51627204
55000009|51627205
55000009|51627206
55000009|51627207
55000009|51627208
55000009|51627209
55000009|51627210
55000009|51627211
55000009|51627212
55000009|51627213
55000009|51627214
55000009|51627215
55000009|51627216
55000009|51627217
55000009|51627218
55000009|51627219
55000009|51627220
55000009|51627221
55000009|51627222
55000009|51627223
55000009|51627224
55000009|51627225
55000009|51627226
55000009|51627227
55000009|51627228
55000009|51627229
55000009|51627230
55000009|51627231
55000009|51627232
55000009|51627233
55000009|51627234
55000009|51627235
55000009|51627236
55000009|51627237
55000009|51627238
55000009|51627239
55000009|51627240
55000009|51627241
55000009|51627242
55000009|51627243
55000009|51627244
55000009|51627245
55000009|51627246
55000009|51627247
55000009|51627248
55000010|51627249
55000010|51627250
55000010|51627251
55000010|51627252
55000010|51627253
55000010|51627254
55000010|51627255
55000010|51627256
55000010|51627257
55000010|51627258
55000010|51627259
55000010|51627260
55000010|51627261
55000010|51627262
55000010|51627263
55000010|51627264
55000010|51627265
55000010|51627266
55000010|51627267
55000010|51627268
55000010|51627269
