,city,REGION,CITY-NAME,CITY-CODE
4334,kuppam,ap,kuppam,148180
4335,kuppam,py,kuppam,1347445
4336,kuppam,tn,kuppam,1349915
4337,aundh,mh,aundh,148720
4338,aundh,up,aundh,1350197
4339,agartala,tr,agartala,14391
4340,baraudha,up,baraudha,872310
4341,keshod,gj,keshod,148428
4342,perumkulam,kl,perumkulam,943388
4343,vadakkevila,kl,vadakkevila,966047
4344,vinukonda,ap,vinukonda,726085
4345,domalpalli,ts,domalpalli,891966
4346,patimatla,ts,patimatla,942560
4347,gundlasagaram,ap,gundlasagaram,899157
4348,avhani,mh,avhani,867784
4349,pattanur,kl,pattanur,1341160
4350,pattanur,tn,pattanur,942753
4351,vite,mh,vite,148874
4352,turakapalle,ap,turakapalle,964528
4353,mangla,cg,mangla,928612
4354,mangla,hp,mangla,1337946
4355,ghanshyampur,gj,ghanshyampur,1336688
4356,ghanshyampur,up,ghanshyampur,896217
4357,basudevpur,od,basudevpur,1346053
4358,basudevpur,wb,basudevpur,595752
4359,dapodi,mh,dapodi,626387
4360,raghavendra colony,ts,raghavendra colony,946421
4361,nandurbar,mh,nandurbar,48290
4362,nipania,br,nipania,1334721
4363,nipania,cg,nipania,1336148
4364,nipania,jh,nipania,1340096
4365,nipania,mp,nipania,1345094
4366,nipania,od,nipania,937962
4367,nipania,up,nipania,1353368
4368,chandpura,br,chandpura,882807
4369,chandpura,hr,chandpura,1338616
4370,chandpura,mp,chandpura,1343259
4371,chandpura,rj,chandpura,1347867
4372,chandpura,up,chandpura,1351073
4373,srirangam,tn,srirangam,149208
4374,chandu,hr,chandu,1338618
4375,chandu,pb,chandu,1346747
4376,chandu,up,chandu,882887
4377,achutapuram,ts,achutapuram,863284
4378,dingali,wb,dingali,891537
4379,sanaswadi,mh,sanaswadi,952240
4380,kalluru,ap,kalluru,909488
4381,kalluru,ts,kalluru,1403980
4382,modasa,gj,modasa,660742
4383,badaun,up,badaun,868307
4384,kalingal,tn,kalingal,909236
4385,lalganj,br,lalganj,148289
4386,lalganj,jh,lalganj,1339987
4387,lalganj,mp,lalganj,1344628
4388,lalganj,rj,lalganj,1348587
4389,lalganj,up,lalganj,1352730
4390,lalganj,wb,lalganj,1355757
4391,bataigole bazar,wb,bataigole bazar,595840
4392,bajipura,gj,bajipura,869703
4393,khangabok,mn,khangabok,915336
4394,bedibhavan,wb,bedibhavan,596021
4395,kannauj,up,kannauj,149288
4396,udayapur,od,udayapur,964897
4397,udayapur,up,udayapur,1354501
4398,pamenahalli,ka,pamenahalli,940254
4399,jalpura,br,jalpura,904445
4400,jalpura,mp,jalpura,1343942
4401,jalpura,up,jalpura,1351965
4402,peruvallur,kl,peruvallur,943416
4403,kalpetta,kl,kalpetta,148669
4404,gannaram,ts,gannaram,895159
4405,tulihal,mn,tulihal,726371
4406,gundala,ap,gundala,1333153
4407,gundala,gj,gundala,1336702
4408,gundala,ts,gundala,899083
4409,samalkot,ap,samalkot,148220
4410,samalkot,up,samalkot,1353976
4411,tikari,cg,tikari,1336462
4412,tikari,mp,tikari,963107
4413,tikari,uk,tikari,1355455
4414,tikari,up,tikari,1354452
4415,gummadavalli,ts,gummadavalli,898996
4416,kempanahalli,ka,kempanahalli,913980
4417,akot,mh,akot,148713
4418,akot,rj,akot,1347480
4419,belocoba,wb,belocoba,596138
4420,banglani,wb,banglani,594870
4421,champadanga,wb,champadanga,149367
4422,mahadebpur,jh,mahadebpur,1340010
4423,mahadebpur,od,mahadebpur,925827
4424,mahadebpur,wb,mahadebpur,1355766
4425,kotikalapudi,ap,kotikalapudi,919760
4426,sitapura,gj,sitapura,957831
4427,sitapura,rj,sitapura,1349172
4428,khirpai,wb,khirpai,916659
4429,biswanathpur,od,biswanathpur,879805
4430,biswanathpur,wb,biswanathpur,1355572
4431,vinnamala,ap,vinnamala,967285
4432,khadgaon,mh,khadgaon,914551
4433,kadamwadi,mh,kadamwadi,907863
4434,kotda,gj,kotda,919645
4435,dhaurahara,mp,dhaurahara,1343517
4436,dhaurahara,up,dhaurahara,590817
4437,baswapur,ts,baswapur,873811
4438,shirol,ka,shirol,955837
4439,shirol,mh,shirol,1342338
4440,mannamangalam,kl,mannamangalam,929061
4441,contai,wb,contai,149375
4442,amarheri,hr,amarheri,865016
4443,singrauli,jh,singrauli,1340285
4444,singrauli,mp,singrauli,266028
4445,singrauli,up,singrauli,1354216
4446,inkollu,ap,inkollu,743930
4447,indapur,br,indapur,1334174
4448,indapur,mh,indapur,148755
4449,indapur,ts,indapur,1349489
4450,kilakarai,tn,kilakarai,738157
4451,lakrehr,hp,lakrehr,923126
4452,bamanpukur,wb,bamanpukur,870660
4453,ekauna,br,ekauna,1334039
4454,ekauna,jh,ekauna,893296
4455,ekauna,up,ekauna,1351494
4456,akonda,up,akonda,864351
4457,shahpura,mp,shahpura,1345647
4458,shahpura,rj,shahpura,1349136
4459,shahpura,up,shahpura,955285
4460,bali chak,wb,bali chak,870288
4461,meoka,hr,meoka,931078
4462,safdarjung enclave,dl,safdarjung enclave,950575
4463,villivakkam,tn,villivakkam,149230
4464,kodaikanal,tn,kodaikanal,149139
4465,kallur,ap,kallur,1402542
4466,kallur,ka,kallur,1340878
4467,kallur,kl,kallur,1341138
4468,kallur,tn,kallur,909484
4469,kallur,ts,kallur,1349511
4470,edakkad,kl,edakkad,893201
4471,jagdalpur,cg,jagdalpur,148312
4472,jagdalpur,od,jagdalpur,1346205
4473,sengadu,tn,sengadu,954827
4474,jangalapalli,ap,jangalapalli,905075
4475,jangalapalli,tn,jangalapalli,1349891
4476,ghunsa,up,ghunsa,896839
4477,budhaul,br,budhaul,880819
4478,debagram,wb,debagram,726643
4479,shela,gj,shela,955615
4480,shela,hp,shela,1338277
4481,bilkal,ka,bilkal,879015
4482,bilkal,ts,bilkal,1349375
4483,ambarnagar,mh,ambarnagar,1341211
4484,ambarnagar,wb,ambarnagar,865172
4485,vilad,mh,vilad,967235
4486,jehanabad,br,jehanabad,595091
4487,balrau,up,balrau,870527
4488,raniband,wb,raniband,948286
4489,jemadeipur,od,jemadeipur,905883
4490,umamaheswarapuram,ap,umamaheswarapuram,1333354
4491,umamaheswarapuram,tn,umamaheswarapuram,965279
4492,bodna,hp,bodna,880028
4493,bodna,mh,bodna,1341387
4494,nabi purwa,up,nabi purwa,933895
4495,bhuri,hr,bhuri,1338582
4496,bhuri,mp,bhuri,1343096
4497,bhuri,wb,bhuri,878221
4498,kothapalle,ap,kothapalle,919700
4499,itarsi,mp,itarsi,63855
4500,kumaranellur,kl,kumaranellur,920812
4501,mittachintavaripalle,ap,mittachintavaripalle,931678
4502,shikrapur,mh,shikrapur,1342335
4503,shikrapur,up,shikrapur,955760
4504,berhampore,wb,berhampore,63871
4505,chandragiri,ap,chandragiri,1333113
4506,chandragiri,cg,chandragiri,1335446
4507,chandragiri,ka,chandragiri,1340781
4508,chandragiri,od,chandragiri,1346104
4509,chandragiri,tn,chandragiri,882819
4510,chandragiri,ts,chandragiri,1349384
4511,sriperumbudur,tn,sriperumbudur,149207
4512,dhabli,mp,dhabli,889300
4513,dhabli,rj,dhabli,1347991
4514,krishnasagar,ts,krishnasagar,920090
4515,joka,wb,joka,907144
4516,duggirala,ap,duggirala,737834
4517,pandakkal,py,pandakkal,940512
4518,ganeshwadi,mh,ganeshwadi,894794
4519,chandkhed,mh,chandkhed,882739
4520,daulatpura,mp,daulatpura,1343421
4521,daulatpura,pb,daulatpura,1346794
4522,daulatpura,rj,daulatpura,1347960
4523,daulatpura,up,daulatpura,888240
4524,channarayapatna,ka,channarayapatna,883008
4525,tughlakabad,dl,tughlakabad,726140
4526,kaikalur,ap,kaikalur,148166
4527,kallam,mh,kallam,256282
4528,nakrekal,ts,nakrekal,726509
4529,mallapura,ka,mallapura,927680
4530,mallapura,rj,mallapura,1348659
4531,bansabati,wb,bansabati,871711
4532,athpur,wb,athpur,593488
4533,nichitpur,jh,nichitpur,937551
4534,nichitpur,wb,nichitpur,1355807
4535,una,gj,una,1403013
4536,una,hp,una,741697
4537,damla,hr,damla,887225
4538,kamali,hp,kamali,1337673
4539,kamali,pb,kamali,909758
4540,hamirpura,gj,hamirpura,900145
4541,hamirpura,mp,hamirpura,1343811
4542,hamirpura,rj,hamirpura,1348192
4543,hamirpura,up,hamirpura,1351756
4544,atarra,cg,atarra,1335214
4545,atarra,mp,atarra,1342619
4546,atarra,up,atarra,149241
4547,shankarpalli,ts,shankarpalli,955474
4548,kunnamangalam,kl,kunnamangalam,148678
4549,rohtas,br,rohtas,626754
4550,tarai,jh,tarai,961350
4551,tarai,mp,tarai,1345856
4552,tarai,up,tarai,1354378
4553,malur,hp,malur,1337926
4554,malur,ka,malur,148617
4555,malur,mh,malur,1341997
4556,polta,wb,polta,944962
4557,melattur,kl,melattur,148685
4558,melattur,tn,melattur,1349933
4559,kotturpuram,tn,kotturpuram,726543
4560,imaliya,mp,imaliya,902875
4561,karaimedu,tn,karaimedu,911487
4562,s a f lines bhilai,cg,s a f lines bhilai,599241
4563,alodi,mh,alodi,864826
4564,alodi,rj,alodi,1347491
4565,sriramapura,ka,sriramapura,958857
4566,dhanas,ch,dhanas,1335166
4567,dhanas,hp,dhanas,889681
4568,nolambur,tn,nolambur,938192
4569,baratala,wb,baratala,595382
4570,kuttur,kl,kuttur,726279
4571,kuttur,tn,kuttur,1349918
4572,balisha chowmatha,wb,balisha chowmatha,594545
4573,manjari,mh,manjari,928897
4574,guttikonda,ap,guttikonda,899619
4575,beli,br,beli,1333730
4576,beli,hp,beli,1337238
4577,beli,jk,beli,1340374
4578,beli,mh,beli,874596
4579,beli,mp,beli,1342952
4580,beli,pb,beli,1346672
4581,beli,up,beli,1350649
4582,beli,wb,beli,1355539
4583,barnala,hp,barnala,1337198
4584,barnala,hr,barnala,1338509
4585,barnala,pb,barnala,148981
4586,barnala,rj,barnala,1347688
4587,dantli,rj,dantli,887590
4588,anupagarh,rj,anupagarh,664987
4589,fatehgarh,hr,fatehgarh,1338726
4590,fatehgarh,mp,fatehgarh,1343616
4591,fatehgarh,pb,fatehgarh,726437
4592,fatehgarh,rj,fatehgarh,1348077
4593,fatehgarh,up,fatehgarh,1351508
4594,nalgora,wb,nalgora,935344
4595,padarai,mp,padarai,1345128
4596,padarai,tn,padarai,939040
4597,bodu,ts,bodu,880034
4598,puyni,mh,puyni,946219
4599,salpa,wb,salpa,951814
4600,muthur,tn,muthur,933812
4601,jalaun,up,jalaun,265640
4602,kovur,ap,kovur,148175
4603,kovur,tn,kovur,1349910
4604,dugrain,hp,dugrain,892588
4605,ikkurru,ap,ikkurru,902806
4606,brahmandihi,od,brahmandihi,1346095
4607,brahmandihi,wb,brahmandihi,597087
4608,birpara,as,birpara,1333407
4609,birpara,wb,birpara,596896
4610,amba,br,amba,1333523
4611,amba,gj,amba,1336544
4612,amba,jh,amba,1339430
4613,amba,mh,amba,1341205
4614,amba,mp,amba,148890
4615,amba,rj,amba,1347497
4616,amba,sk,amba,1349310
4617,amba,up,amba,1350085
4618,amba,wb,amba,1355481
