States,city,citygroup,Source
National Capital Territory of Delhi,Sector 4,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Sector 8,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Sector-12,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Sector-15,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Ghaziabad,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Greater Noida,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Noida,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,New Delhi District,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Gurugram District,Delhi-NCR,JC - Cohort service
National Capital Territory of Delhi,Jhilmil,Delhi-NCR,Quantum
National Capital Territory of Delhi,Bahadurgarh,Delhi-NCR,Hotstar
National Capital Territory of Delhi,Baghpat,Delhi-NCR,Hotstar
National Capital Territory of Delhi,Dadri,Delhi-NCR,Hotstar
National Capital Territory of Delhi,Khekra,Delhi-NCR,Hotstar
National Capital Territory of Delhi,Sohna,Delhi-NCR,Hotstar
National Capital Territory of Delhi,Jhajjar,Delhi-NCR,Hotstar
National Capital Territory of Delhi,Sampla,Delhi-NCR,Hotstar
National Capital Territory of Delhi,Gautam Buddha Nagar,Delhi-NCR,Hotstar
National Capital Territory of Delhi,Sonipat,Delhi-NCR,Hotstar
National Capital Territory of Delhi,Sikandrabad,Delhi-NCR,Hotstar
Assam,Amerigog,Guwahati,JC - Cohort service
Assam,Amingaon,Guwahati,JC - Cohort service
Assam,Assam Sachivalaya,Guwahati,JC - Cohort service
Assam,Bamunimaidan,Guwahati,JC - Cohort service
Assam,Bharalumukh,Guwahati,JC - Cohort service
Assam,Debgotanagar,Guwahati,JC - Cohort service
Assam,Hengrabari,Guwahati,JC - Cohort service
Assam,Kahilipara,Guwahati,JC - Cohort service
Assam,Kamakhya,Guwahati,JC - Cohort service
Assam,Kharguli,Guwahati,JC - Cohort service
Assam,Lachitnagar,Guwahati,JC - Cohort service
Assam,Noonmati,Guwahati,JC - Cohort service
Assam,Odalbakra,Guwahati,JC - Cohort service
Assam,Paltanbazar,Guwahati,JC - Cohort service
Assam,Pandu,Guwahati,JC - Cohort service
Assam,Patharquerry,Guwahati,JC - Cohort service
Assam,Beltola,Guwahati,JC - Cohort service
Assam,Dispur,Guwahati,JC - Cohort service
Assam,Guwahati,Guwahati,JC - Cohort service
Assam,Hatigaon Chariali,Guwahati,JC - Cohort service
Assam,Khanapara,Guwahati,JC - Cohort service
Assam,Panjabari,Guwahati,JC - Cohort service
Telangana,Allembylines,Hyderabad,JC - Cohort service
Telangana,Patancheru,Hyderabad,JC - Cohort service
Telangana,Vikasnagar,Hyderabad,JC - Cohort service
Telangana,Adibatla,Hyderabad,JC - Cohort service
Telangana,Adraspalli,Hyderabad,JC - Cohort service
Telangana,Agapalli,Hyderabad,JC - Cohort service
Telangana,Akulamailaram,Hyderabad,JC - Cohort service
Telangana,Allapur,Hyderabad,JC - Cohort service
Telangana,Alwal,Hyderabad,JC - Cohort service
Telangana,Anandbagh,Hyderabad,JC - Cohort service
Telangana,Balanagar,Hyderabad,JC - Cohort service
Telangana,Balanagar Township,Hyderabad,JC - Cohort service
Telangana,Begampet,Hyderabad,JC - Cohort service
Telangana,Bowenpally,Hyderabad,JC - Cohort service
Telangana,Chandanagar,Hyderabad,JC - Cohort service
Telangana,Gachibowli,Hyderabad,JC - Cohort service
Telangana,Gandipet,Hyderabad,JC - Cohort service
Telangana,Gangaram,Hyderabad,JC - Cohort service
Telangana,HMT Township,Hyderabad,JC - Cohort service
Telangana,Hyderabad,Hyderabad,JC - Cohort service
Telangana,IDA Jeedimetla,Hyderabad,JC - Cohort service
Telangana,Koheda,Hyderabad,JC - Cohort service
Telangana,Kondapur,Hyderabad,JC - Cohort service
Telangana,Kothapet,Hyderabad,JC - Cohort service
Telangana,Kukatpally,Hyderabad,JC - Cohort service
Telangana,Manovikasnagar,Hyderabad,JC - Cohort service
Telangana,Miyapur,Hyderabad,JC - Cohort service
Telangana,Neredmet,Hyderabad,JC - Cohort service
Telangana,Nizampet,Hyderabad,JC - Cohort service
Telangana,Sainikpuri,Hyderabad,JC - Cohort service
Telangana,Secunderabad,Hyderabad,JC - Cohort service
Telangana,Trimulgherry,Hyderabad,JC - Cohort service
Telangana,Uppal,Hyderabad,JC - Cohort service
Telangana,Venkatagiri,Hyderabad,JC - Cohort service
Telangana,Khairatabad,Hyderabad,Quantum
Telangana,Vikarabad,Hyderabad,Quantum
Telangana,Medchal,Hyderabad,Hotstar
Telangana,Narsapur,Hyderabad,Hotstar
Telangana,Mahbubnagar,Hyderabad,Hotstar
Telangana,Bhongir,Hyderabad,Hotstar
Telangana,Gudur,Hyderabad,Hotstar
Telangana,Jangaon,Hyderabad,Hotstar
Telangana,Medak,Hyderabad,Hotstar
Telangana,Siddipet,Hyderabad,Hotstar
Telangana,Shadnagar,Hyderabad,Hotstar
Telangana,Annaram,Hyderabad,Hotstar
Telangana,Nisa Hakimpet,Hyderabad,Hotstar
Madhya Pradesh,Depalpur,Indore,JC - Cohort service
Madhya Pradesh,Indore,Indore,JC - Cohort service
Madhya Pradesh,Mhow,Indore,JC - Cohort service
Madhya Pradesh,Sanwer,Indore,JC - Cohort service
Rajasthan,Amer,Jaipur,JC - Cohort service
Rajasthan,Bassi,Jaipur,JC - Cohort service
Rajasthan,Boraj,Jaipur,JC - Cohort service
Rajasthan,Govindgarh,Jaipur,JC - Cohort service
Rajasthan,Jaipur,Jaipur,JC - Cohort service
Rajasthan,Naraina,Jaipur,JC - Cohort service
Rajasthan,Samod,Jaipur,JC - Cohort service
Rajasthan,Dausa,Jaipur,Quantum
Rajasthan,Jawahar Nagar,Jaipur,Quantum
Rajasthan,Shahpura,Jaipur,Quantum
Rajasthan,Shastri Nagar,Jaipur,Quantum
Uttar Pradesh,Kanpur,Kanpur,JC - Cohort service
Uttar Pradesh,Unnao,Kanpur,Quantum
Uttar Pradesh,Nawabganj,Kanpur,Quantum
Kerala,Aluva,Kochi,JC - Cohort service
Kerala,Cherthala,Kochi,JC - Cohort service
Kerala,Edayar,Kochi,JC - Cohort service
Kerala,Ernakulam,Kochi,JC - Cohort service
Kerala,Kalady,Kochi,JC - Cohort service
Kerala,Kochi,Kochi,JC - Cohort service
Kerala,Kodungallur,Kochi,JC - Cohort service
Kerala,Kothamangalam,Kochi,JC - Cohort service
Kerala,Mala,Kochi,JC - Cohort service
Kerala,Piravom,Kochi,JC - Cohort service
Kerala,Thodupuzha,Kochi,JC - Cohort service
Kerala,Vazhakulam,Kochi,JC - Cohort service
Kerala,Vennikulam,Kochi,JC - Cohort service
West Bengal,Bediadanga,Kolkata,JC - Cohort service
West Bengal,Brahmapur,Kolkata,JC - Cohort service
West Bengal,Alipore,Kolkata,JC - Cohort service
West Bengal,Amtala,Kolkata,JC - Cohort service
West Bengal,Bally,Kolkata,JC - Cohort service
West Bengal,Bangur Avenue,Kolkata,JC - Cohort service
West Bengal,Bansdroni,Kolkata,JC - Cohort service
West Bengal,Barasat,Kolkata,JC - Cohort service
West Bengal,Barrackpore,Kolkata,JC - Cohort service
West Bengal,Barrackpore RS,Kolkata,JC - Cohort service
West Bengal,Baruipur,Kolkata,JC - Cohort service
West Bengal,Behala,Kolkata,JC - Cohort service
West Bengal,Belgharia,Kolkata,JC - Cohort service
West Bengal,Bidhannagar,Kolkata,JC - Cohort service
West Bengal,Boral,Kolkata,JC - Cohort service
West Bengal,Calcutta,Kolkata,JC - Cohort service
West Bengal,Garden Reach,Kolkata,JC - Cohort service
West Bengal,Garia,Kolkata,JC - Cohort service
West Bengal,Garia Garden,Kolkata,JC - Cohort service
West Bengal,Hatiara,Kolkata,JC - Cohort service
West Bengal,Howrah,Kolkata,JC - Cohort service
West Bengal,Ichapur,Kolkata,JC - Cohort service
West Bengal,Kalindi,Kolkata,JC - Cohort service
West Bengal,Kasba,Kolkata,JC - Cohort service
West Bengal,New Town,Kolkata,JC - Cohort service
West Bengal,Santosh Pur,Kolkata,JC - Cohort service
West Bengal,Tollygunge,Kolkata,JC - Cohort service
West Bengal,Vip Nagar,Kolkata,JC - Cohort service
West Bengal,Kolkata,Kolkata,JC - Cohort service
