"id","name","netacuity_id","targeting_tag","state_id"
51148880,Yeola,"148880",CITY_YEOLA,52001320
51148881,Jowai,"148881",CITY_JOWAI,52010026
51148882,Nongpoh,"148882",CITY_NONGPOH,52010026
51148883,Pala,"148883",CITY_PALA,52010011
51148884,Smit,"148884",CITY_SMIT,52010026
51148885,Churachandpur,"148885",CITY_CHURACHANDPUR,52024803
51148886,Kakching,"148886",CITY_KAKCHING,52024803
51148887,Kanglatongbi,"148887",CITY_KANGLATONGBI,52024803
51148888,Kangpokpi,"148888",CITY_KANGPOKPI,52024803
51148889,Thanga,"148889",CITY_THANGA,52024803
51148890,Amba,"148890",CITY_AMBA,52010027
51148891,Anjad,"148891",CITY_ANJAD,52010027
51148892,Ashta,"148892",CITY_ASHTA,52010027
51148893,Badnawar,"148893",CITY_BADNAWAR,52010027
51148894,Bagh,"148894",CITY_BAGH,52010027
51148895,Barman,"148895",CITY_BARMAN,52010027
51148896,Barnagar,"148896",CITY_BARNAGAR,52010027
51148898,Barwaha,"148898",CITY_BARWAHA,52010027
51148899,Betul,"148899",CITY_BETUL,52010027
51148900,Chand,"148900",CITY_CHAND,52010027
51148902,Dabra,"148902",CITY_DABRA,52010027
51148903,Datia,"148903",CITY_DATIA,52010027
51148904,Depalpur,"148904",CITY_DEPALPUR,52010027
51148905,Dhamnod,"148905",CITY_DHAMNOD,52010027
51148906,Dhar,"148906",CITY_DHAR,52010027
51148907,Dindori,"148907",CITY_DINDORI,52010027
51148908,Guna,"148908",CITY_GUNA,52010027
51148909,Harda,"148909",CITY_HARDA,52010027
51148910,Hoshangabad,"148910",CITY_HOSHANGABAD,52010027
51148911,Kasrawad,"148911",CITY_KASRAWAD,52010027
51148912,Katni,"148912",CITY_KATNI,52010027
51148913,Khargone,"148913",CITY_KHARGONE,52010027
51148914,Maharajpur,"148914",CITY_MAHARAJPUR,52010027
51148915,Maheshwar,"148915",CITY_MAHESHWAR,52010027
51148916,Mandla,"148916",CITY_MANDLA,52010027
51148917,Mhow,"148917",CITY_MHOW,52010027
51148918,Multai,"148918",CITY_MULTAI,52010027
51148919,Narsinghpur,"148919",CITY_NARSINGHPUR,52010027
51148920,Niwas,"148920",CITY_NIWAS,52010027
51148921,Pachmarhi,"148921",CITY_PACHMARHI,52010027
51148922,Pandhurna,"148922",CITY_PANDHURNA,52010027
51148923,Petlawad,"148923",CITY_PETLAWAD,52010027
51148924,Piploda,"148924",CITY_PIPLODA,52010027
51148925,Raisen,"148925",CITY_RAISEN,52010027
51148927,Rama,"148927",CITY_RAMA,52010027
51148928,Sanawad,"148928",CITY_SANAWAD,52010027
51148929,Sanwer,"148929",CITY_SANWER,52010027
51148930,Sarai,"148930",CITY_SARAI,52010027
51148931,Sehore,"148931",CITY_SEHORE,52010027
51148932,Seoni,"148932",CITY_SEONI,52010027
51148933,Shajapur,"148933",CITY_SHAJAPUR,52010027
51148934,Sidhi,"148934",CITY_SIDHI,52010027
51148935,Soni,"148935",CITY_SONI,52010027
51148936,Vidisha,"148936",CITY_VIDISHA,52010027
51148937,Mamit,"148937",CITY_MAMIT,52024800
51148938,Serchhip,"148938",CITY_SERCHHIP,52024800
51148939,Wokha,"148939",CITY_WOKHA,52024792
51148940,Baisinga,"148940",CITY_BAISINGA,52010030
51148941,Balliguda,"148941",CITY_BALLIGUDA,52010030
51148943,Bargarh,"148943",CITY_BARGARH,52010030
51148944,Berhampur,"148944",CITY_BERHAMPUR,52010030
51148945,Bhadrak,"148945",CITY_BHADRAK,52010030
51148946,Bhawanipatna,"148946",CITY_BHAWANIPATNA,52010030
51148947,Bolani,"148947",CITY_BOLANI,52010030
51148948,Burla,"148948",CITY_BURLA,52010030
51148949,Chatrapur,"148949",CITY_CHATRAPUR,52010030
51148950,Dhenkanal,"148950",CITY_DHENKANAL,52010030
51148951,Ganjam,"148951",CITY_GANJAM,52010030
51148952,Gunupur,"148952",CITY_GUNUPUR,52010030
51148953,Jajpur,"148953",CITY_JAJPUR,52010030
51148954,Jaleswar,"148954",CITY_JALESWAR,52010030
51148955,Jatni,"148955",CITY_JATNI,52010030
51148956,Jharsuguda,"148956",CITY_JHARSUGUDA,52010030
51148957,Kalinga,"148957",CITY_KALINGA,52010030
51148958,Kantabanji,"148958",CITY_KANTABANJI,52010030
51148959,Kendrapara,"148959",CITY_KENDRAPARA,52010030
51148960,Kesinga,"148960",CITY_KESINGA,52010030
51148961,Khurda,"148961",CITY_KHURDA,52010030
51148962,Koraput,"148962",CITY_KORAPUT,52010030
51148963,Lanjigarh,"148963",CITY_LANJIGARH,52010030
51148964,Nayagarh,"148964",CITY_NAYAGARH,52010030
51148965,Nisha,"148965",CITY_NISHA,52010030
51148966,Paradip,"148966",CITY_PARADIP,52010030
51148967,Patnagarh,"148967",CITY_PATNAGARH,52010030
51148968,Pipili,"148968",CITY_PIPILI,52010030
51148969,Rayagada,"148969",CITY_RAYAGADA,52010030
51148970,Rourkela,"148970",CITY_ROURKELA,52010030
51148971,Samal,"148971",CITY_SAMAL,52010030
51148972,Sonepur,"148972",CITY_SONEPUR,52010030
51148973,Sundargarh,"148973",CITY_SUNDARGARH,52010030
51148975,Ajnala,"148975",CITY_AJNALA,52010031
51148976,Alawalpur,"148976",CITY_ALAWALPUR,52010031
51148977,Amloh,"148977",CITY_AMLOH,52010031
51148978,Badhni Kalan,"148978",CITY_BADHNI_KALAN,52010031
51148979,Banga,"148979",CITY_BANGA,52010031
51148980,Banur,"148980",CITY_BANUR,52010031
51148981,Barnala,"148981",CITY_BARNALA,52010031
51148982,Batala,"148982",CITY_BATALA,52010031
51148983,Beas,"148983",CITY_BEAS,52010031
51148984,Begowal,"148984",CITY_BEGOWAL,52010031
51148985,Bhawanigarh,"148985",CITY_BHAWANIGARH,52010031
51148986,Budhlada,"148986",CITY_BUDHLADA,52010031
51148987,Dasuya,"148987",CITY_DASUYA,52010031
51148988,Dhilwan,"148988",CITY_DHILWAN,52010031
51148989,Dhuri,"148989",CITY_DHURI,52010031
51148990,Dinanagar,"148990",CITY_DINANAGAR,52010031
51148991,Doraha,"148991",CITY_DORAHA,52010031
51148992,Faridkot,"148992",CITY_FARIDKOT,52010031
51148993,Fatehgarh Churian,"148993",CITY_FATEHGARH_CHURIAN,52010031
51148994,Fatehgarh Sahib,"148994",CITY_FATEHGARH_SAHIB,52010031
51148995,Fatehpur,"148995",CITY_FATEHPUR,52010031
51148996,Fazilka,"148996",CITY_FAZILKA,52010031
51148997,Ferozepur,"148997",CITY_FEROZEPUR,52010031
51148998,Gurdaspur,"148998",CITY_GURDASPUR,52010031
51148999,Jagraon,"148999",CITY_JAGRAON,52010031
51149000,Jalalabad,"149000",CITY_JALALABAD,52010031
51149001,Jandiala,"149001",CITY_JANDIALA,52010031
51149002,Jassowal,"149002",CITY_JASSOWAL,52010031
51149003,Kartarpur,"149003",CITY_KARTARPUR,52010031
51149004,Kharar,"149004",CITY_KHARAR,52010031
51149005,Khem Karan,"149005",CITY_KHEM_KARAN,52010031
51149006,Kurali,"149006",CITY_KURALI,52010031
51149007,Landran,"149007",CITY_LANDRAN,52010031
51149008,Machhiwara,"149008",CITY_MACHHIWARA,52010031
51149009,Mansa,"149009",CITY_MANSA,52010002
51149010,Morinda,"149010",CITY_MORINDA,52010031
51149011,Mukerian,"149011",CITY_MUKERIAN,52010031
51149012,Muktsar,"149012",CITY_MUKTSAR,52010031
51149014,Patti,"149014",CITY_PATTI,52010031
51149015,Phagwara,"149015",CITY_PHAGWARA,52010031
51149016,Phillaur,"149016",CITY_PHILLAUR,52010031
51149017,Qadian,"149017",CITY_QADIAN,52010031
51149018,Rahon,"149018",CITY_RAHON,52010031
51149019,Rajpura,"149019",CITY_RAJPURA,52010031
51149020,Rampura,"149020",CITY_RAMPURA,52010031
51149021,Rupnagar,"149021",CITY_RUPNAGAR,52010031
51149022,Samana,"149022",CITY_SAMANA,52010031
51149023,Samrala,"149023",CITY_SAMRALA,52010031
51149024,Shahkot,"149024",CITY_SHAHKOT,52010031
51149025,Sunam,"149025",CITY_SUNAM,52010031
51149026,Talwandi,"149026",CITY_TALWANDI,52010031
51149027,Talwandi Bhai,"149027",CITY_TALWANDI_BHAI,52010031
51149028,Talwandi Sabo,"149028",CITY_TALWANDI_SABO,52010031
51149029,Talwara,"149029",CITY_TALWARA,52010031
51149031,Agucha,"149031",CITY_AGUCHA,52010035
51149032,Amer,"149032",CITY_AMER,52010035
51149033,Anta,"149033",CITY_ANTA,52010035
51149034,Badhal,"149034",CITY_BADHAL,52010035
51149035,Bali,"149035",CITY_BALI,52010035
51149036,Balotra,"149036",CITY_BALOTRA,52010035
51149037,Bandikui,"149037",CITY_BANDIKUI,52010035
51149038,Banswara,"149038",CITY_BANSWARA,52010035
51149039,Baran,"149039",CITY_BARAN,52010035
51149040,Bari,"149040",CITY_BARI,52010035
51149041,Barmer,"149041",CITY_BARMER,52010035
51149042,Bassi,"149042",CITY_BASSI,52010035
51149044,Bijainagar,"149044",CITY_BIJAINAGAR,52010035
51149045,Bundi,"149045",CITY_BUNDI,52010035
51149046,Chetan,"149046",CITY_CHETAN,52010035
51149047,Chhabra,"149047",CITY_CHHABRA,52010035
51149048,Chirawa,"149048",CITY_CHIRAWA,52010035
51149049,Deopura,"149049",CITY_DEOPURA,52010035
51149050,Devli,"149050",CITY_DEVLI,52010035
51149051,Dungarpur,"149051",CITY_DUNGARPUR,52010035
51149053,Gotan,"149053",CITY_GOTAN,52010035
51149054,Govindgarh,"149054",CITY_GOVINDGARH,52010035
51149055,Gulabpura,"149055",CITY_GULABPURA,52010035
51149056,Harsani,"149056",CITY_HARSANI,52010035
51149057,Jaisalmer,"149057",CITY_JAISALMER,52010035
51149058,Jasol,"149058",CITY_JASOL,52010035
51149059,Jhalawar,"149059",CITY_JHALAWAR,52010035
51149060,Jhunjhunu,"149060",CITY_JHUNJHUNU,52010035
51149062,Karauli,"149062",CITY_KARAULI,52010035
51149063,Kekri,"149063",CITY_KEKRI,52010035
51149064,Khandela,"149064",CITY_KHANDELA,52010035
51149065,Khetri,"149065",CITY_KHETRI,52010035
51149066,Kishangarh,"149066",CITY_KISHANGARH,52010035
51149067,Kumher,"149067",CITY_KUMHER,52010035
51149068,Lamba,"149068",CITY_LAMBA,52010035
51149069,Mahajan,"149069",CITY_MAHAJAN,52010035
51149070,Mahwa,"149070",CITY_MAHWA,52010035
51149071,Makrana,"149071",CITY_MAKRANA,52010035
51149073,Meghana,"149073",CITY_MEGHANA,52010035
51149074,Moras,"149074",CITY_MORAS,52010035
51149075,Nagar,"149075",CITY_NAGAR,52028058
51149076,Nagaur,"149076",CITY_NAGAUR,52010035
51149077,Namana,"149077",CITY_NAMANA,52010035
51149078,Naraina,"149078",CITY_NARAINA,52010035
51149079,Nasirabad,"149079",CITY_NASIRABAD,52010035
51149080,Nimbahera,"149080",CITY_NIMBAHERA,52010035
51149081,Paota,"149081",CITY_PAOTA,52010035
51149082,Partapur,"149082",CITY_PARTAPUR,52010035
51149083,Patwa,"149083",CITY_PATWA,52010035
51149084,Pilani,"149084",CITY_PILANI,52010035
51149085,Rajgarh,"149085",CITY_RAJGARH,52024787
51149086,Rajsamand,"149086",CITY_RAJSAMAND,52010035
51149087,Ringas,"149087",CITY_RINGAS,52010035
51149088,Sagwara,"149088",CITY_SAGWARA,52010035
51149089,Samod,"149089",CITY_SAMOD,52010035
51149090,Sena,"149090",CITY_SENA,52010035
51149091,Sheoganj,"149091",CITY_SHEOGANJ,52010035
51149092,Shiv,"149092",CITY_SHIV,52010035
51149093,Sirohi,"149093",CITY_SIROHI,52010035
51149094,Sojat,"149094",CITY_SOJAT,52010035
51149095,Surana,"149095",CITY_SURANA,52010035
51149096,Suratgarh,"149096",CITY_SURATGARH,52010035
51149098,Wazirpur,"149098",CITY_WAZIRPUR,52010035
51149099,Abiramam,"149099",CITY_ABIRAMAM,52010036
51149100,Adambakkam,"149100",CITY_ADAMBAKKAM,52010036
51149101,Adyar,"149101",CITY_ADYAR,52010036
51149102,Alangayam,"149102",CITY_ALANGAYAM,52010036
51149103,Alangulam,"149103",CITY_ALANGULAM,52010036
51149104,Ambasamudram,"149104",CITY_AMBASAMUDRAM,52010036
51149105,Ambur,"149105",CITY_AMBUR,52010036
51149106,Annur,"149106",CITY_ANNUR,52010036
51149107,Arakkonam,"149107",CITY_ARAKKONAM,52010036
51149108,Ariyalur,"149108",CITY_ARIYALUR,52010036
51149109,Attur,"149109",CITY_ATTUR,52010036
51149110,Bagalur,"149110",CITY_BAGALUR,52010036
51149111,Chengalpattu,"149111",CITY_CHENGALPATTU,52010036
51149112,Chettikulam,"149112",CITY_CHETTIKULAM,52010036
51149113,Cheyur,"149113",CITY_CHEYUR,52010036
51149114,Cheyyar,"149114",CITY_CHEYYAR,52010036
51149115,Chidambaram,"149115",CITY_CHIDAMBARAM,52010036
51149116,Choolai,"149116",CITY_CHOOLAI,52010036
51149117,Chromepet,"149117",CITY_CHROMEPET,52010036
51149118,Coonoor,"149118",CITY_COONOOR,52010036
51149119,Devakottai,"149119",CITY_DEVAKOTTAI,52010036
51149120,Dharapuram,"149120",CITY_DHARAPURAM,52010036
51149121,Gandarvakottai,"149121",CITY_GANDARVAKOTTAI,52010036
51149122,Gingee,"149122",CITY_GINGEE,52010036
51149123,Gudalur,"149123",CITY_GUDALUR,52010036
51149124,Idappadi,"149124",CITY_IDAPPADI,52010036
51149125,Irugur,"149125",CITY_IRUGUR,52010036
51149126,Jolarpettai,"149126",CITY_JOLARPETTAI,52010036
51149127,Kadayanallur,"149127",CITY_KADAYANALLUR,52010036
51149128,Kalpakkam,"149128",CITY_KALPAKKAM,52010036
51149129,Kalugumalai,"149129",CITY_KALUGUMALAI,52010036
51149130,Kangayam,"149130",CITY_KANGAYAM,52010036
51149131,Kaniyambadi,"149131",CITY_KANIYAMBADI,52010036
51149132,Kanniyakumari,"149132",CITY_KANNIYAKUMARI,52010036
51149133,Karaikudi,"149133",CITY_KARAIKUDI,52010036
51149134,Kariapatti,"149134",CITY_KARIAPATTI,52010036
51149135,Karumbakkam,"149135",CITY_KARUMBAKKAM,52010036
51149136,Kaveripattinam,"149136",CITY_KAVERIPATTINAM,52010036
51149137,Kilpauk,"149137",CITY_KILPAUK,52010036
51149138,Kilvelur,"149138",CITY_KILVELUR,52010036
51149139,Kodaikanal,"149139",CITY_KODAIKANAL,52010036
51149140,Kodambakkam,"149140",CITY_KODAMBAKKAM,52010036
51149141,Kodumudi,"149141",CITY_KODUMUDI,52010036
51149142,Koradacheri,"149142",CITY_KORADACHERI,52010036
51149143,Kotagiri,"149143",CITY_KOTAGIRI,52010036
51149144,Kottaiyur,"149144",CITY_KOTTAIYUR,52010036
51149145,Kovilpatti,"149145",CITY_KOVILPATTI,52010036
51149146,Krishnagiri,"149146",CITY_KRISHNAGIRI,52010036
51149147,Kulasekharam,"149147",CITY_KULASEKHARAM,52010036
51149148,Lalgudi,"149148",CITY_LALGUDI,52010036
51149149,Madipakkam,"149149",CITY_MADIPAKKAM,52010036
51149150,Madukkarai,"149150",CITY_MADUKKARAI,52010036
51149151,Madurantakam,"149151",CITY_MADURANTAKAM,52010036
51149152,Mamallapuram,"149152",CITY_MAMALLAPURAM,52010036
51149153,Manali,"149153",CITY_MANALI,52024787
51149154,Manamadurai,"149154",CITY_MANAMADURAI,52010036
51149155,Mangalam,"149155",CITY_MANGALAM,52010036
51149156,Mannargudi,"149156",CITY_MANNARGUDI,52010036
51149157,Mannur,"149157",CITY_MANNUR,52010036
51149158,Marandahalli,"149158",CITY_MARANDAHALLI,52010036
51149159,Mettupalayam,"149159",CITY_METTUPALAYAM,52010036
51149160,Mettur,"149160",CITY_METTUR,52010036
51149161,Mohanur,"149161",CITY_MOHANUR,52010036
51149162,Mulanur,"149162",CITY_MULANUR,52010036
51149163,Musiri,"149163",CITY_MUSIRI,52010036
51149164,Mylapore,"149164",CITY_MYLAPORE,52010036
51149165,Nagapattinam,"149165",CITY_NAGAPATTINAM,52010036
51149166,Nagore,"149166",CITY_NAGORE,52010036
51149167,Nambiyur,"149167",CITY_NAMBIYUR,52010036
51149168,Navalur,"149168",CITY_NAVALUR,52010036
51149169,Nazareth,"149169",CITY_NAZARETH,52010036
51149170,Nellikkuppam,"149170",CITY_NELLIKKUPPAM,52010036
51149171,Nungambakkam,"149171",CITY_NUNGAMBAKKAM,52010036
51149172,Palani,"149172",CITY_PALANI,52010036
51149173,Palayamkottai,"149173",CITY_PALAYAMKOTTAI,52010036
51149174,Palladam,"149174",CITY_PALLADAM,52010036
51149175,Pallapatti,"149175",CITY_PALLAPATTI,52010036
51149176,Panruti,"149176",CITY_PANRUTI,52010036
51149177,Papanasam,"149177",CITY_PAPANASAM,52010036
51149178,Papparapatti,"149178",CITY_PAPPARAPATTI,52010036
51149179,Pennagaram,"149179",CITY_PENNAGARAM,52010036
51149180,Peraiyur,"149180",CITY_PERAIYUR,52010036
51149181,Perambalur,"149181",CITY_PERAMBALUR,52010036
51149182,Perambur,"149182",CITY_PERAMBUR,52010036
51149183,Periyapatti,"149183",CITY_PERIYAPATTI,52010036
51149184,Perumanallur,"149184",CITY_PERUMANALLUR,52010036
51149185,Perundurai,"149185",CITY_PERUNDURAI,52010036
51149186,Podanur,"149186",CITY_PODANUR,52010036
51149187,Ponneri,"149187",CITY_PONNERI,52010036
51149188,Porayar,"149188",CITY_PORAYAR,52010036
51149189,Porur,"149189",CITY_PORUR,52010036
51149190,Pudukkottai,"149190",CITY_PUDUKKOTTAI,52010036
51149191,Pudur,"149191",CITY_PUDUR,52010036
51149192,Puliyur,"149192",CITY_PULIYUR,52010036
51149193,Rajapalayam,"149193",CITY_RAJAPALAYAM,52010036
51149194,Ramanathapuram,"149194",CITY_RAMANATHAPURAM,52010036
51149195,Ranipet,"149195",CITY_RANIPET,52010036
51149196,Rasipuram,"149196",CITY_RASIPURAM,52010036
51149197,Royapettah,"149197",CITY_ROYAPETTAH,52010036
51149198,Saidapet,"149198",CITY_SAIDAPET,52010036
51149199,Sankarankovil,"149199",CITY_SANKARANKOVIL,52010036
51149200,Sattur,"149200",CITY_SATTUR,52010036
51149201,Singanallur,"149201",CITY_SINGANALLUR,52010036
51149202,Singaperumalkoil,"149202",CITY_SINGAPERUMALKOIL,52010036
51149203,Sirkali,"149203",CITY_SIRKALI,52010036
51149204,Sivaganga,"149204",CITY_SIVAGANGA,52010036
51149205,Sivagiri,"149205",CITY_SIVAGIRI,52010036
51149206,Srimushnam,"149206",CITY_SRIMUSHNAM,52010036
51149207,Sriperumbudur,"149207",CITY_SRIPERUMBUDUR,52010036
51149208,Srirangam,"149208",CITY_SRIRANGAM,52010036
51149209,Sulur,"149209",CITY_SULUR,52010036
51149210,Surandai,"149210",CITY_SURANDAI,52010036
51149211,Tenkasi,"149211",CITY_TENKASI,52010036
51149212,Teynampet,"149212",CITY_TEYNAMPET,52010036
51149213,Thoothukudi,"149213",CITY_THOOTHUKUDI,52010036
51149214,Tiruchengodu,"149214",CITY_TIRUCHENGODU,52010036
